         113241 function calls (110377 primitive calls) in 0.638 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      145    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      384    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    128/2    0.001    0.000    0.313    0.157 <frozen importlib._bootstrap_external>:877(exec_module)
      128    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.146    0.146 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:101(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    371/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       21    0.002    0.000    0.930    0.044 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:103(Any)
        1    0.000    0.000    0.000    0.000 __init__.py:107(GArray)
       24    0.000    0.000    0.044    0.002 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:114(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:118(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:122(Int64)
        1    0.000    0.000    0.000    0.000 __init__.py:126(UInt64)
        1    0.000    0.000    0.000    0.000 __init__.py:130(Double)
        1    0.000    0.000    0.000    0.000 __init__.py:134(Float)
        1    0.000    0.000    0.000    0.000 __init__.py:138(String)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:142(Point)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:146(Point2f)
        1    0.000    0.000    0.000    0.000 __init__.py:15(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:150(Point3f)
        1    0.000    0.000    0.000    0.000 __init__.py:154(Size)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
     2390    0.001    0.000    0.001    0.000 __init__.py:158(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:158(Rect)
        1    0.000    0.000    0.000    0.000 __init__.py:162(Scalar)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:166(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:170(GMat)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:174(Prim)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:178(Any)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:221(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       23    0.001    0.000    0.016    0.001 __init__.py:23(__load_extra_py_code_for_module)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
       13    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
       58    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
     1035    0.001    0.000    0.003    0.000 __init__.py:42(<lambda>)
        3    0.000    0.000    0.000    0.000 __init__.py:426(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(GOpaque)
        1    0.000    0.000    0.000    0.000 __init__.py:49(__collect_extra_submodules)
       35    0.000    0.000    0.001    0.000 __init__.py:50(modules_filter)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:51(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:55(Int)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:59(Int64)
        1    0.000    0.000    0.000    0.000 __init__.py:63(UInt64)
        1    0.000    0.000    0.000    0.000 __init__.py:67(Double)
        1    0.000    0.000    0.000    0.000 __init__.py:67(_256Bit)
        1    0.002    0.002    0.054    0.054 __init__.py:68(bootstrap)
        8    0.000    0.000    0.000    0.000 __init__.py:7(register)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:71(Float)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:75(String)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Point)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
        8    0.000    0.000    0.000    0.000 __init__.py:8(parameterized)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:83(Point2f)
